concept_id,family,display_name,aggregation,source_file,source_columns,main,notes
hr_ventricular,RATE_RHYTHM,Ventricular heart rate,global,12sl_features.csv,HR_Ventr_Global,yes,Measurement concept not diagnostic rhythm label.
hr_atrial,RATE_RHYTHM,Atrial heart rate,global,12sl_features.csv,HR_Atrial_Global,yes,Measurement concept.
rr_mean,RATE_RHYTHM,RR mean,global,12sl_features.csv,RR_Mean_Global,yes,Measurement concept.
rr_iqr,RATE_RHYTHM,RR variability IQR,global,ecgdeli_features.csv,RR_Mean_Global_iqr,yes,Robust variability proxy.
p_found,RATE_RHYTHM,P wave presence,global,12sl_features.csv,P_Found_Global,yes,Morphology measurement not AF label.
pr_interval,INTERVAL,PR interval,global,12sl_features.csv,PR_Int_Global,yes,Global interval.
pq_interval,INTERVAL,PQ interval,global,ecgdeli_features.csv,PQ_Int_Global,yes,Global interval.
p_duration_global,INTERVAL,P duration,global,12sl_features.csv,P_Dur_Global,yes,Global duration.
qrs_duration,INTERVAL,QRS duration,global,12sl_features.csv,QRS_Dur_Global,yes,Global duration.
qt_interval,INTERVAL,QT interval,global,12sl_features.csv,QT_Int_Global,yes,Global interval.
qtc_bazett,INTERVAL,QTc Bazett,global,12sl_features.csv,QT_IntBazett_Global,yes,Corrected interval.
qtc_fridericia,INTERVAL,QTc Fridericia,global,12sl_features.csv,QT_IntFridericia_Global,yes,Corrected interval.
qtc_framingham,INTERVAL,QTc Framingham,global,12sl_features.csv,QT_IntFramingham_Global,yes,Corrected interval.
p_axis_front,AXIS,P frontal axis,global,12sl_features.csv,P_AxisFront_Global,yes,Axis measurement.
qrs_axis_front,AXIS,QRS frontal axis,global,12sl_features.csv,R_AxisFrontal_Global,yes,Axis measurement.
t_axis_front,AXIS,T frontal axis,global,12sl_features.csv,T_AxisFront_Global,yes,Axis measurement.
qrst_angle,AXIS,QRS-T angle,derived,12sl_features.csv,R_AxisFrontal_Global|T_AxisFront_Global,yes,Derived absolute angular difference.
p_amp_global,AMPLITUDE,P amplitude global,lead_absmax,12sl_features.csv,P_Amp_{lead},yes,Aggregate over all 12 leads.
p_amp_limb,AMPLITUDE,P amplitude limb,lead_absmax,12sl_features.csv,P_Amp_I|P_Amp_II|P_Amp_III|P_Amp_aVR|P_Amp_aVL|P_Amp_aVF,yes,Limb lead aggregate.
p_amp_precordial,AMPLITUDE,P amplitude precordial,lead_absmax,12sl_features.csv,P_Amp_V1|P_Amp_V2|P_Amp_V3|P_Amp_V4|P_Amp_V5|P_Amp_V6,yes,Precordial aggregate.
q_amp_global,AMPLITUDE,Q amplitude global,lead_absmax,12sl_features.csv,Q_Amp_{lead},yes,Aggregate over all 12 leads.
q_amp_limb,AMPLITUDE,Q amplitude limb,lead_absmax,12sl_features.csv,Q_Amp_I|Q_Amp_II|Q_Amp_III|Q_Amp_aVR|Q_Amp_aVL|Q_Amp_aVF,yes,Limb aggregate.
q_amp_precordial,AMPLITUDE,Q amplitude precordial,lead_absmax,12sl_features.csv,Q_Amp_V1|Q_Amp_V2|Q_Amp_V3|Q_Amp_V4|Q_Amp_V5|Q_Amp_V6,yes,Precordial aggregate.
r_amp_global,AMPLITUDE,R amplitude global,lead_absmax,12sl_features.csv,R_Amp_{lead},yes,Aggregate over all 12 leads.
r_amp_limb,AMPLITUDE,R amplitude limb,lead_absmax,12sl_features.csv,R_Amp_I|R_Amp_II|R_Amp_III|R_Amp_aVR|R_Amp_aVL|R_Amp_aVF,yes,Limb aggregate.
r_amp_precordial,AMPLITUDE,R amplitude precordial,lead_absmax,12sl_features.csv,R_Amp_V1|R_Amp_V2|R_Amp_V3|R_Amp_V4|R_Amp_V5|R_Amp_V6,yes,Precordial aggregate.
s_amp_global,AMPLITUDE,S amplitude global,lead_absmax,12sl_features.csv,S_Amp_{lead},yes,Aggregate over all 12 leads.
s_amp_limb,AMPLITUDE,S amplitude limb,lead_absmax,12sl_features.csv,S_Amp_I|S_Amp_II|S_Amp_III|S_Amp_aVR|S_Amp_aVL|S_Amp_aVF,yes,Limb aggregate.
s_amp_precordial,AMPLITUDE,S amplitude precordial,lead_absmax,12sl_features.csv,S_Amp_V1|S_Amp_V2|S_Amp_V3|S_Amp_V4|S_Amp_V5|S_Amp_V6,yes,Precordial aggregate.
t_amp_global,ST_T,T amplitude global,lead_absmax,12sl_features.csv,T_Amp_{lead},yes,Aggregate over all 12 leads.
